"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11761953_at",3.790456,3.795915,4.015429,3.797552,3.908828,3.838157
"11761954_at",4.610203,4.22163,4.572461,4.456121,4.59505,4.664411
"11761955_s_at",3.835339,3.940229,3.906956,3.886642,3.897931,3.695183
"11761956_at",3.335664,3.613194,3.417367,3.700346,3.578428,3.829574
"11761957_x_at",3.258667,3.613194,3.297076,3.715693,3.339738,3.437213
"11761958_s_at",3.255624,2.710881,2.816985,2.946778,3.19696,3.070201
"11761959_x_at",3.39747,3.256563,3.648932,3.391097,3.557961,3.422089
"11761960_x_at",3.860819,3.603864,3.88704,4.034131,3.662242,3.833576
"11761961_s_at",3.768328,3.358803,3.61048,3.658054,3.797552,3.630003
"11761962_at",4.345814,4.076445,3.780502,4.335131,4.265502,4.215941
"11761963_at",5.551515,3.813074,3.988116,3.700485,4.187242,3.929594
"11761964_at",3.748415,3.819345,3.646499,3.768448,3.693475,4.023432
"11761965_at",2.970628,3.067219,2.957995,3.027867,3.156049,3.455261
"11761966_x_at",3.583638,3.553389,3.414018,3.339817,3.771966,3.892437
"11761967_a_at",3.366481,3.524501,3.53869,3.383687,3.614655,3.326663
"11761968_at",3.412997,3.576797,3.348124,3.52048,3.560774,3.68941
"11761969_x_at",3.397655,3.625003,3.332782,3.49619,3.545433,3.674069
"11761970_at",3.219731,3.256799,3.063909,2.913202,3.293809,3.21597
"11761971_at",3.322587,3.043764,3.331193,3.290012,3.450277,3.318809
"11761972_a_at",8.460165,8.865318,8.791786,8.473673,8.545938,8.297022
"11761973_at",5.835624,5.952207,6.296928,5.906543,6.215956,6.056194
"11761974_at",4.240275,4.243206,4.395442,4.151084,4.353827,4.044084
"11761975_x_at",4.240275,4.243206,4.18474,4.228848,4.348633,4.02523
"11761976_at",2.684595,2.756337,2.561085,2.698491,2.528141,2.667208
"11761977_at",3.371377,3.612955,3.408025,3.336308,3.307005,3.427099
"11761978_at",3.668201,4.499896,4.043709,4.214678,3.691246,3.823872
"11761979_a_at",5.166259,5.686721,5.470076,5.682904,5.072145,4.989749
"11761980_a_at",7.92234,7.740025,7.829851,7.692227,7.999312,7.412
"11761981_at",3.230776,3.052084,2.990439,3.191648,3.404084,3.022099
"11761982_x_at",2.943066,3.043764,3.307537,2.997455,3.075101,3.056421
"11761983_at",2.852018,2.816985,2.801293,2.78952,2.996137,3.066678
"11761984_at",3.007338,3.23566,2.901708,3.325347,3.219501,3.1467
